open,high,low,close,volume,date
365.3,401.8,365.3,401.8,7730.0,2023-12-21 05:45:00
409.8,441.9,409.8,441.9,9105.0,2023-12-24 20:45:00
450.7,486.0,450.7,486.0,18977.0,2023-12-27 20:45:00
495.7,534.6,495.7,534.6,46854.0,2023-12-28 20:45:00
545.2,588.0,523.9,549.0,150275.0,2024-01-01 20:45:00
555.0,570.0,530.2,540.4,107187.0,2024-01-02 20:45:00
545.0,545.0,530.0,542.0,60268.0,2024-01-03 20:45:00
550.0,595.0,542.0,585.0,68836.0,2024-01-04 20:45:00
596.7,607.0,555.5,559.0,76780.0,2024-01-07 20:45:00
559.0,595.4,548.0,586.0,52235.0,2024-01-08 20:44:58
586.0,597.0,562.0,567.0,43715.0,2024-01-09 20:44:59
568.0,573.1,555.0,559.0,27275.0,2024-01-10 20:44:59
550.0,568.0,548.0,560.0,27247.0,2024-01-11 20:44:59
570.0,608.0,570.0,582.0,90565.0,2024-01-14 20:44:56
593.0,600.0,565.1,577.0,62737.0,2024-01-16 20:44:53
588.5,588.5,545.0,551.0,58811.0,2024-01-17 20:44:55
540.0,570.0,530.0,542.0,62515.0,2024-01-18 20:44:59
543.0,564.0,537.0,541.0,40419.0,2024-01-21 20:44:48
540.0,550.0,528.0,530.1,35703.0,2024-01-22 20:44:59
521.0,540.7,516.4,522.0,32181.0,2024-01-23 20:44:35
521.0,530.0,509.0,509.4,28559.0,2024-01-24 20:44:59
509.4,515.0,496.1,505.0,28866.0,2024-01-25 20:44:45
505.0,527.0,503.1,526.9,31024.0,2024-01-28 20:44:58
515.0,537.0,515.0,530.2,30539.0,2024-01-29 20:44:58
531.2,539.6,525.0,527.0,38007.0,2024-01-30 20:44:59
527.0,532.0,504.7,509.0,37216.0,2024-01-31 20:44:58
509.0,513.0,502.1,505.0,26731.0,2024-02-01 20:44:58
500.0,510.0,491.1,501.2,17918.0,2024-02-04 20:44:56
500.0,515.1,500.0,513.0,17400.0,2024-02-05 20:44:54
513.0,525.0,505.0,524.0,24505.0,2024-02-06 20:44:57
520.0,530.0,517.0,520.2,15357.0,2024-02-07 20:44:57
518.0,537.3,518.0,535.5,38153.0,2024-02-08 20:44:47
535.5,543.5,521.5,525.1,42449.0,2024-02-11 20:44:55
525.0,576.0,525.0,566.0,107368.0,2024-02-12 20:44:56
564.0,570.1,542.0,544.0,52993.0,2024-02-13 20:44:52
540.0,555.0,535.1,549.9,24291.0,2024-02-14 20:44:53
549.9,562.0,536.2,537.0,31373.0,2024-02-15 20:44:54
526.7,540.0,516.1,518.5,32291.0,2024-02-18 20:44:57
515.0,544.6,515.0,540.0,31973.0,2024-02-20 20:44:48
529.2,559.9,525.2,533.1,18825.0,2024-02-21 20:44:56
543.0,543.0,514.0,519.0,39171.0,2024-02-22 20:44:55
516.0,540.0,515.9,521.0,32893.0,2024-02-25 20:44:57
515.1,535.0,515.1,524.9,16816.0,2024-02-26 20:44:57
522.0,532.0,515.0,519.0,11125.0,2024-02-27 20:44:58
510.5,554.0,510.5,542.0,91844.0,2024-02-28 20:44:53
548.9,548.9,519.1,529.0,34697.0,2024-02-29 20:44:58
520.0,538.9,511.2,528.0,44788.0,2024-03-03 20:44:55
538.0,571.0,538.0,571.0,7936.0,2024-03-04 17:49:34
582.4,582.4,532.0,534.0,53753.0,2024-03-05 20:44:55
525.1,549.0,525.0,543.0,44401.0,2024-03-06 20:44:54
543.0,553.0,530.3,536.0,16107.0,2024-03-07 20:44:58
540.0,545.0,533.0,533.0,29321.0,2024-03-10 20:44:50
533.0,540.0,530.0,536.1,27030.0,2024-03-12 20:44:58
536.0,545.0,531.1,544.0,42058.0,2024-03-13 20:44:59
544.0,549.9,524.4,534.7,29097.0,2024-03-14 20:44:58
543.0,543.0,524.0,525.0,18275.0,2024-03-17 20:44:43
524.0,528.0,522.0,524.0,15716.0,2024-03-18 20:44:53
523.0,534.4,515.0,518.4,22002.0,2024-03-19 20:44:33
518.4,523.9,515.0,517.0,19166.0,2024-03-20 20:44:55
526.9,526.9,513.2,513.2,15052.0,2024-03-21 20:44:55
511.0,517.8,504.0,512.0,10043.0,2024-03-25 20:44:55
510.0,523.0,510.0,522.9,15209.0,2024-03-26 20:44:34
518.0,524.9,510.4,515.0,13532.0,2024-03-27 20:44:50
512.0,519.0,511.0,512.5,12709.0,2024-03-28 20:44:57
512.5,519.9,510.0,510.0,15853.0,2024-03-31 20:44:54
510.1,515.0,508.1,513.0,17017.0,2024-04-01 20:44:56
510.0,513.5,502.8,505.0,11733.0,2024-04-02 20:44:59
507.0,515.0,502.0,502.8,13027.0,2024-04-03 20:44:27
502.0,509.8,499.0,502.9,19734.0,2024-04-04 20:44:29
496.1,509.0,496.1,509.0,10805.0,2024-04-07 20:44:40
509.0,516.0,508.0,508.0,13273.0,2024-04-09 20:44:27
