open,high,low,close,volume,date
215.75,237.3,215.75,237.3,150.0,2022-08-17 05:45:00
242.03,261.03,242.03,261.03,260.0,2022-08-18 05:45:00
266.21,287.12,266.21,287.12,650.0,2022-08-21 20:45:00
292.85,315.76,292.85,315.76,6530.0,2022-08-22 20:45:00
322.04,347.31,322.04,347.31,11400.0,2022-08-23 20:45:00
354.22,382.05,354.22,382.05,76612.0,2022-08-24 20:45:00
389.68,396.41,367.13,377.31,26490.0,2022-08-25 20:45:00
370.04,372.86,363.77,370.59,7780.0,2022-08-26 20:45:00
363.77,363.77,344.31,345.5,23769.0,2022-08-28 20:45:00
340.13,354.59,336.4,348.5,11390.0,2022-08-29 20:45:00
354.59,354.59,339.13,340.95,4255.0,2022-08-30 20:45:00
334.68,352.4,328.4,342.76,9980.0,2022-08-31 20:45:00
344.58,354.59,329.4,352.77,12030.0,2022-09-01 20:33:00
352.77,362.77,346.4,357.31,7310.0,2022-09-02 20:45:00
351.04,370.04,351.04,363.68,12667.0,2022-09-04 20:45:00
358.22,378.23,356.4,356.68,14357.0,2022-09-05 20:45:00
350.95,363.68,350.95,363.68,10888.0,2022-09-06 20:45:00
356.68,361.86,352.77,361.86,5436.0,2022-09-07 20:45:00
357.31,371.68,354.77,363.68,10950.0,2022-09-08 20:45:00
357.4,365.5,356.95,357.31,11457.0,2022-09-11 20:45:00
350.95,359.13,348.5,348.5,12660.0,2022-09-12 20:45:00
348.5,359.04,344.4,359.04,3740.0,2022-09-13 20:45:00
363.68,367.31,351.95,365.5,11227.0,2022-09-14 20:45:00
372.77,372.77,342.76,354.5,9427.0,2022-09-15 20:45:00
347.5,349.95,336.4,349.95,5590.0,2022-09-16 20:45:00
343.68,345.4,332.76,340.68,5330.0,2022-09-18 20:45:00
334.58,345.5,325.68,330.04,5377.0,2022-09-20 20:45:00
323.68,342.86,323.68,335.5,2920.0,2022-09-21 20:45:00
328.86,348.95,322.94,325.5,4700.0,2022-09-22 20:45:00
319.12,320.12,308.04,308.22,4236.0,2022-09-25 20:45:00
313.68,323.58,307.4,311.4,1215.0,2022-09-27 20:45:00
317.58,340.04,305.58,340.04,1241.0,2022-09-28 20:45:00
340.04,340.95,322.86,340.95,1859.0,2022-09-29 20:45:00
340.95,340.95,323.68,338.5,923.0,2022-10-09 20:45:00
334.58,334.58,318.22,327.12,2471.0,2022-10-10 20:45:00
320.68,321.68,308.04,321.68,940.0,2022-10-11 20:45:00
315.3,333.68,304.86,325.5,2411.0,2022-10-12 20:45:00
319.04,328.12,312.86,328.12,1220.0,2022-10-13 20:45:00
321.58,321.58,306.58,318.04,1950.0,2022-10-16 20:45:00
312.76,323.68,305.76,323.68,1405.0,2022-10-17 20:45:00
317.22,317.22,301.86,309.76,2775.0,2022-10-19 20:45:00
303.67,312.76,295.58,301.86,2700.0,2022-10-20 20:45:00
296.04,300.94,292.85,295.4,1350.0,2022-10-23 20:45:00
289.67,303.67,284.49,295.49,690.0,2022-10-31 20:45:00
289.58,312.94,281.85,307.3,5687.0,2022-11-01 20:45:00
301.22,313.68,295.49,313.68,5855.0,2022-11-02 20:45:00
309.12,310.04,292.76,298.22,3750.0,2022-11-03 20:45:00
292.3,304.58,292.3,304.58,2610.0,2022-11-06 20:45:00
298.58,314.12,293.76,310.4,6865.0,2022-11-07 20:45:00
304.22,304.22,294.58,296.49,1685.0,2022-11-08 20:45:00
291.3,308.4,287.03,290.03,5926.0,2022-11-09 20:45:00
295.49,301.4,279.03,301.4,8525.0,2022-11-10 20:45:00
295.4,313.49,284.58,312.68,5577.0,2022-11-13 20:45:00
306.49,306.49,289.12,302.67,5050.0,2022-11-14 20:45:00
307.12,307.22,283.85,290.94,12633.0,2022-11-15 20:45:00
290.94,302.3,288.22,302.3,5984.0,2022-11-16 20:45:00
296.3,311.86,290.94,307.86,11910.0,2022-11-17 20:45:00
301.86,302.04,292.03,298.22,2920.0,2022-11-22 20:45:00
292.3,292.76,285.49,287.85,5190.0,2022-11-23 20:45:00
