Stock A,Stock B,Signal,Stock to Buy,Latest Z-Score,Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold
CFCL,RADHI,Hold,None,0.845968300661176,6,-1.56,1.68,-0.36
CFCL,NHPC,Hold,None,1.381292206582925,12,-1.1,1.99,0.4
CFCL,HDHPC,Hold,None,1.3789876137881598,12,-1.03,1.84,0.01
CFCL,AKPL,Hold,None,1.2282410373938293,12,-1.01,1.31,0.09
MFIL,HDHPC,Hold,None,1.480397575805689,10,-1.46,2.01,0.17
GUFL,NHPC,Hold,None,1.0965654955294701,10,-2.19,1.18,0.4
GUFL,KPCL,Exit,KPCL,0.43588518654577624,6,-2.28,1.0,-0.47
GUFL,API,Hold,None,0.9018591697732301,8,-2.29,1.03,0.15
NYADI,RADHI,Buy,NYADI,-1.2209383198955617,10,-1.04,1.16,0.14
RADHI,NHPC,Hold,None,0.9962429979496061,11,-1.39,1.16,0.3
RADHI,HDHPC,Hold,None,0.6332226572062815,12,-1.17,2.6,0.01
RADHI,DHPL,Hold,None,0.6033436562616799,8,-1.67,1.68,0.01
RADHI,API,Hold,None,0.993728319652623,8,-1.28,1.6,0.43
NHPC,KPCL,Hold,None,-1.0404915548919909,7,-1.11,1.73,0.23
NHPC,HDHPC,Hold,None,-1.0130914443904102,17,-1.38,1.3,0.22
NHPC,DHPL,Hold,None,-1.2446231317192211,8,-1.48,1.51,-0.41
NHPC,AKPL,Exit,AKPL,-0.6290722650213588,28,-1.13,1.0,0.28
HDHPC,DHPL,Exit,DHPL,-0.7134323763305632,5,-2.16,1.19,0.37
HDHPC,API,Hold,None,1.2137013770564276,13,-1.04,2.26,-0.42
DHPL,AKPL,Hold,None,-1.1037532835946895,21,-2.01,1.13,-0.46
DHPL,UNHPL,Hold,None,-0.3089040472421174,7,-1.47,1.16,0.13
AKPL,UNHPL,Buy,UNHPL,1.9064681582204344,9,-1.81,1.32,0.19
SHIVM,HRL,Buy,SHIVM,-2.132471455001469,25,-1.22,1.52,-0.48
NABIL,KBL,Hold,None,1.6128086633922518,6,-1.03,1.73,-0.14
NABIL,API,Buy,API,1.6513151487420936,5,-1.07,1.44,0.36
KBL,NHPC,Hold,None,0.33894631455162494,14,-1.74,2.03,0.23
KBL,DHPL,Hold,None,-0.7470499833918274,5,-1.06,1.16,-0.17
KBL,UNHPL,Hold,None,-0.43153294040852214,17,-1.03,1.44,-0.2
MBL,AKPL,Buy,MBL,-1.3293469564848472,11,-1.28,2.05,0.41
NYADI,KPCL,Hold,None,-0.9750992027711535,6,-1.82,1.01,-0.11
RADHI,NHPC,Buy,NHPC,1.0427914370995632,10,-1.43,1.01,0.34
RADHI,KPCL,Exit,KPCL,0.02286112907046348,10,-2.27,1.1,-0.29
RADHI,API,Buy,API,1.3380435777525632,14,-1.77,1.11,0.45
NHPC,HDHPC,Hold,None,-1.0664734487638547,18,-1.36,1.36,-0.19
NHPC,AKPL,Buy,NHPC,-2.3095274024986825,12,-1.08,2.07,-0.17
HDHPC,DHPL,Exit,DHPL,-0.7134323763305632,5,-1.53,1.16,0.01
HDHPC,API,Hold,None,1.0035653107428442,10,-1.01,2.97,-0.17
DHPL,AKPL,Buy,DHPL,-1.5416146818941652,11,-1.06,1.23,-0.08
DHPL,UNHPL,Hold,None,-0.5435233208255941,9,-1.22,1.56,-0.3
AKPL,UNHPL,Buy,UNHPL,1.9824529388494745,8,-1.36,1.32,0.02
GFCL,CLI,Buy,CLI,1.665615211382001,11,-2.29,1.35,0.4
GFCL,MFIL,Hold,None,1.026934967756645,5,-2.78,1.46,0.44
NRIC,HRL,Hold,None,-2.362977937540832,12,-2.38,1.49,-0.04
CFCL,RADHI,Hold,None,0.845968300661176,6,-1.56,1.68,-0.36
CFCL,NHPC,Hold,None,1.381292206582925,12,-1.1,1.99,0.4
CFCL,HDHPC,Hold,None,1.3789876137881598,12,-1.03,1.84,0.01
CFCL,AKPL,Hold,None,1.2282410373938293,12,-1.01,1.31,0.09
MFIL,HDHPC,Hold,None,1.480397575805689,10,-1.46,2.01,0.17
GUFL,NHPC,Hold,None,1.0965654955294701,10,-2.19,1.18,0.4
GUFL,KPCL,Exit,KPCL,0.43588518654577624,6,-2.28,1.0,-0.47
GUFL,API,Hold,None,0.9018591697732301,8,-2.29,1.03,0.15
NYADI,RADHI,Buy,NYADI,-1.2209383198955617,10,-1.04,1.16,0.14
RADHI,NHPC,Hold,None,0.9962429979496061,11,-1.39,1.16,0.3
RADHI,HDHPC,Hold,None,0.6332226572062815,12,-1.17,2.6,0.01
RADHI,DHPL,Hold,None,0.6033436562616799,8,-1.67,1.68,0.01
